FIPS,County,value1,value2,value3
"34013","Essex County",57,12,1284
"34017","Hudson County",12,4,442
"34021","Mercer County",26,6,415
"34023","Middlesex County",32,7,659
"34025","Monmouth County",51,14,1026
"34027","Morris County",25,7,643
"34029","Ocean County",7,1,21
"34031","Passaic County",10,3,320
"34035","Somerset County",42,6,601
"34037","Sussex County",1,1,20
"34039","Union County",28,8,647
"34041","Warren County",8,2,156
"35001","Bernalillo County",49,8,826
"35013","DoñA Ana County",8,1,198
"35028","Los Alamos County",6,1,117
"35043","Sandoval County",2,1,20
"35049","Santa Fe County",10,3,362
"35061","Valencia County",4,2,185
"36001","Albany County",9,5,470
"36005","Bronx County",46,12,697
"36007","Broome County",0,0,14
"36013","Chautauqua County",41,2,313
"36027","Dutchess County",4,2,191
"36029","Erie County",78,10,1602
"36039","Greene County",1,1,39
"36043","Herkimer County",2,1,70
"36047","Kings County",28,7,845
"36053","Madison County",5,0,19
"36055","Monroe County",4,3,191
"36059","Nassau County",55,18,1644
"36061","New York County",214,31,3521
"36067","Onondaga County",11,4,172
"36071","Orange County",8,2,102
"36073","Orleans County",1,1,43
"36077","Otsego County",2,1,48
"36081","Queens County",7,4,149
"36083","Rensselaer County",5,2,83
"36085","Richmond County",6,1,37
"36091","Saratoga County",7,2,189
"36103","Suffolk County",47,12,945
"36105","Sullivan County",6,1,43
"36107","Tioga County",2,1,84
"36109","Tompkins County",2,1,78
"36111","Ulster County",20,3,322
"36119","Westchester County",52,16,1079
"36121","Wyoming County",1,1,18
"37001","Alamance County",21,2,263
"37003","Alexander County",1,1,35
"37017","Bladen County",3,1,86
"37019","Brunswick County",3,1,97
"37021","Buncombe County",1,1,16
"37025","Cabarrus County",49,8,488
"37035","Catawba County",8,3,100
"37037","Chatham County",0,0,62
"37049","Craven County",2,1,19
"37051","Cumberland County",10,1,267
"37057","Davidson County",10,1,69
"37063","Durham County",60,11,1095
"37065","Edgecombe County",3,1,96
"37067","Forsyth County",20,6,449
"37069","Franklin County",19,1,75
"37071","Gaston County",26,1,314
"37077","Granville County",8,1,204
"37081","Guilford County",1,1,27
"37085","Harnett County",2,2,94
"37089","Henderson County",2,1,49
"37093","Hoke County",4,2,92
"37097","Iredell County",3,2,114
"37107","Lenoir County",5,3,171
"37109","Lincoln County",1,1,30
"37111","McDowell County",15,2,180
"37119","Mecklenburg County",50,11,978
"37125","Moore County",2,1,99
"37127","Nash County",2,1,46
"37129","New Hanover County",8,3,119
"37133","Onslow County",2,1,75
"37135","Orange County",4,2,92
"37139","Pasquotank County",3,1,98
"37151","Randolph County",2,1,57
"37159","Rowan County",10,1,137
"37165","Scotland County",1,1,91
"37167","Stanly County",2,1,43
"37171","Surry County",2,1,42
"37179","Union County",3,1,165
"37183","Wake County",45,10,1176
"38017","Cass County",2,1,74
"38043","Kidder County",8,1,145
"38089","Stark County",6,1,140
"39013","Belmont County",0,0,29
"39015","Brown County",2,1,59
"39017","Butler County",4,0,58
"39021","Champaign County",5,0,110
"39023","Clark County",1,1,60
"39029","Columbiana County",9,1,21
"39035","Cuyahoga County",30,12,854
"39041","Delaware County",2,1,155
"39043","Erie County",10,2,298
"39045","Fairfield County",5,1,106
"39049","Franklin County",16,8,643
"39055","Geauga County",2,2,115
"39061","Hamilton County",35,8,663
"39081","Jefferson County",0,0,48
"39093","Lorain County",8,2,77
"39099","Mahoning County",3,1,147
"39101","Marion County",6,1,222
"39103","Medina County",2,1,55
"39107","Mercer County",14,2,123
"39113","Montgomery County",2,2,121
"39121","Noble County",23,7,963
"39127","Perry County",4,1,67
"39149","Shelby County",0,0,10
"39151","Stark County",1,0,48
"39153","Summit County",14,3,282
"39161","Van Wert County",2,1,68
"40009","Beckham County",1,1,43
"40027","Cleveland County",1,1,108
"40087","McClain County",1,1,70
"40101","Muskogee County",2,1,16
"40109","Oklahoma County",5,4,107
"40115","Ottawa County",2,1,37
"40131","Rogers County",1,1,21
"40143","Tulsa County",4,2,154
"41001","Baker County",23,1,162
"41011","Coos County",65,3,1172
"41015","Curry County",7,1,96
"41017","Deschutes County",4,1,149
"41019","Douglas County",4,1,55
"41029","Jackson County",66,4,268
"41033","Josephine County",13,4,357
"41035","Klamath County",22,4,746
"41037","Lake County",3,1,11
"41039","Lane County",19,4,230
"41047","Marion County",12,2,167
